"id","name","aspect","category","power","accuracy","flux_delta","priority","effect","animation_id","unlock_level"
"TC249","Shade Ward","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc249_shade_guard_slash","48"
"TC250","Radiant Lance","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc250_radiant_field_flare","51"
"TC251","Mind Step","mind","bind","77","85","1","0","status_or_switch_lock","anim_tc251_mind_bind_quake","54"
"TC252","Echo Howl","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc252_echo_recovery_beam","57"
"TC253","Ember Guard","ember","strike","91","95","3","0","damage_contact","anim_tc253_ember_strike_ripple","60"
"TC254","Tide Crash","tide","pulse","98","100","4","0","damage_special","anim_tc254_tide_pulse_shard","63"
"TC255","Verdance Thread","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc255_verdance_guard_chain","66"
"TC256","Stone Field","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc256_stone_field_veil","69"
"TC257","Gale Mark","gale","bind","119","84","-8","0","status_or_switch_lock","anim_tc257_gale_bind_arc","72"
"TC258","Spark Rush","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc258_spark_recovery_surge","75"
"TC259","Frost Song","frost","strike","38","94","-6","0","damage_contact","anim_tc259_frost_strike_spiral","78"
"TC260","Metal Blade","metal","pulse","45","99","-5","0","damage_special","anim_tc260_metal_pulse_burst","81"
"TC261","Shade Nova","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc261_shade_guard_rain","84"
"TC262","Radiant Rift","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc262_radiant_field_lash","87"
"TC263","Mind Comet","mind","bind","66","83","-2","0","status_or_switch_lock","anim_tc263_mind_bind_ring","90"
"TC264","Echo Bind","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc264_echo_recovery_wave","93"
"TC265","Ember Mirror","ember","strike","80","93","0","0","damage_contact","anim_tc265_ember_strike_slash","96"
"TC266","Tide Drift","tide","pulse","87","98","1","0","damage_special","anim_tc266_tide_pulse_flare","99"
"TC267","Verdance Aegis","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc267_verdance_guard_quake","2"
"TC268","Stone Burst","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc268_stone_field_beam","5"
"TC269","Gale Orbit","gale","bind","108","82","4","0","status_or_switch_lock","anim_tc269_gale_bind_ripple","8"
"TC270","Spark Needle","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc270_spark_recovery_shard","11"
"TC271","Frost Snap","frost","strike","122","92","-9","0","damage_contact","anim_tc271_frost_strike_chain","14"
"TC272","Metal Surge","metal","pulse","34","97","-8","0","damage_special","anim_tc272_metal_pulse_veil","17"
"TC273","Shade Veil","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc273_shade_guard_arc","20"
"TC274","Radiant Spiral","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc274_radiant_field_surge","23"
"TC275","Mind Crown","mind","bind","55","81","-5","0","status_or_switch_lock","anim_tc275_mind_bind_spiral","26"
"TC276","Echo Pulse","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc276_echo_recovery_burst","29"
"TC277","Ember Fang","ember","strike","69","91","-3","0","damage_contact","anim_tc277_ember_strike_rain","32"
"TC278","Tide Bloom","tide","pulse","76","96","-2","0","damage_special","anim_tc278_tide_pulse_lash","35"
"TC279","Verdance Ward","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc279_verdance_guard_ring","38"
"TC280","Stone Lance","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc280_stone_field_wave","41"
"TC281","Gale Step","gale","bind","97","80","1","0","status_or_switch_lock","anim_tc281_gale_bind_slash","44"
"TC282","Spark Howl","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc282_spark_recovery_flare","47"
"TC283","Frost Guard","frost","strike","111","90","3","0","damage_contact","anim_tc283_frost_strike_quake","50"
"TC284","Metal Crash","metal","pulse","118","95","4","0","damage_special","anim_tc284_metal_pulse_beam","53"
"TC285","Shade Thread","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc285_shade_guard_ripple","56"
"TC286","Radiant Field","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc286_radiant_field_shard","59"
"TC287","Mind Mark","mind","bind","44","79","-8","0","status_or_switch_lock","anim_tc287_mind_bind_chain","62"
"TC288","Echo Rush","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc288_echo_recovery_veil","65"
"TC289","Ember Song","ember","strike","58","89","-6","0","damage_contact","anim_tc289_ember_strike_arc","68"
"TC290","Tide Blade","tide","pulse","65","94","-5","0","damage_special","anim_tc290_tide_pulse_surge","71"
"TC291","Verdance Nova","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc291_verdance_guard_spiral","74"
"TC292","Stone Rift","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc292_stone_field_burst","77"
"TC293","Gale Comet","gale","bind","86","78","-2","0","status_or_switch_lock","anim_tc293_gale_bind_rain","80"
"TC294","Spark Bind","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc294_spark_recovery_lash","83"
"TC295","Frost Mirror","frost","strike","100","88","0","0","damage_contact","anim_tc295_frost_strike_ring","86"
"TC296","Metal Drift","metal","pulse","107","93","1","0","damage_special","anim_tc296_metal_pulse_wave","89"
"TC297","Shade Aegis","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc297_shade_guard_slash","92"
"TC298","Radiant Burst","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc298_radiant_field_flare","95"
"TC299","Mind Orbit","mind","bind","33","77","4","0","status_or_switch_lock","anim_tc299_mind_bind_quake","98"
"TC300","Echo Needle","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc300_echo_recovery_beam","1"
"TC301","Ember Snap","ember","strike","47","87","-9","0","damage_contact","anim_tc301_ember_strike_ripple","4"
"TC302","Tide Surge","tide","pulse","54","92","-8","0","damage_special","anim_tc302_tide_pulse_shard","7"
"TC303","Verdance Veil","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc303_verdance_guard_chain","10"
"TC304","Stone Spiral","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc304_stone_field_veil","13"
"TC305","Gale Crown","gale","bind","75","76","-5","0","status_or_switch_lock","anim_tc305_gale_bind_arc","16"
"TC306","Spark Pulse","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc306_spark_recovery_surge","19"
"TC307","Frost Fang","frost","strike","89","86","-3","0","damage_contact","anim_tc307_frost_strike_spiral","22"
"TC308","Metal Bloom","metal","pulse","96","91","-2","0","damage_special","anim_tc308_metal_pulse_burst","25"
"TC309","Shade Ward","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc309_shade_guard_rain","28"
"TC310","Radiant Lance","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc310_radiant_field_lash","31"
"TC311","Mind Step","mind","bind","117","75","1","0","status_or_switch_lock","anim_tc311_mind_bind_ring","34"
"TC312","Echo Howl","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc312_echo_recovery_wave","37"
"TC313","Ember Guard","ember","strike","36","85","3","0","damage_contact","anim_tc313_ember_strike_slash","40"
"TC314","Tide Crash","tide","pulse","43","90","4","0","damage_special","anim_tc314_tide_pulse_flare","43"
"TC315","Verdance Thread","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc315_verdance_guard_quake","46"
"TC316","Stone Field","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc316_stone_field_beam","49"
"TC317","Gale Mark","gale","bind","64","74","-8","0","status_or_switch_lock","anim_tc317_gale_bind_ripple","52"
"TC318","Spark Rush","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc318_spark_recovery_shard","55"
"TC319","Frost Song","frost","strike","78","84","-6","0","damage_contact","anim_tc319_frost_strike_chain","58"
"TC320","Metal Blade","metal","pulse","85","89","-5","0","damage_special","anim_tc320_metal_pulse_veil","61"
"TC321","Shade Nova","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc321_shade_guard_arc","64"
"TC322","Radiant Rift","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc322_radiant_field_surge","67"
"TC323","Mind Comet","mind","bind","106","73","-2","0","status_or_switch_lock","anim_tc323_mind_bind_spiral","70"
"TC324","Echo Bind","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc324_echo_recovery_burst","73"
"TC325","Ember Mirror","ember","strike","120","83","0","0","damage_contact","anim_tc325_ember_strike_rain","76"
"TC326","Tide Drift","tide","pulse","32","88","1","0","damage_special","anim_tc326_tide_pulse_lash","79"
"TC327","Verdance Aegis","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc327_verdance_guard_ring","82"
"TC328","Stone Burst","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc328_stone_field_wave","85"
"TC329","Gale Orbit","gale","bind","53","72","4","0","status_or_switch_lock","anim_tc329_gale_bind_slash","88"
"TC330","Spark Needle","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc330_spark_recovery_flare","91"
"TC331","Frost Snap","frost","strike","67","82","-9","0","damage_contact","anim_tc331_frost_strike_quake","94"
"TC332","Metal Surge","metal","pulse","74","87","-8","0","damage_special","anim_tc332_metal_pulse_beam","97"
"TC333","Shade Veil","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc333_shade_guard_ripple","100"
"TC334","Radiant Spiral","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc334_radiant_field_shard","3"
"TC335","Mind Crown","mind","bind","95","71","-5","0","status_or_switch_lock","anim_tc335_mind_bind_chain","6"
"TC336","Echo Pulse","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc336_echo_recovery_veil","9"
"TC337","Ember Fang","ember","strike","109","81","-3","0","damage_contact","anim_tc337_ember_strike_arc","12"
"TC338","Tide Bloom","tide","pulse","116","86","-2","0","damage_special","anim_tc338_tide_pulse_surge","15"
"TC339","Verdance Ward","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc339_verdance_guard_spiral","18"
"TC340","Stone Lance","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc340_stone_field_burst","21"
"TC341","Gale Step","gale","bind","42","70","1","0","status_or_switch_lock","anim_tc341_gale_bind_rain","24"
"TC342","Spark Howl","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc342_spark_recovery_lash","27"
"TC343","Frost Guard","frost","strike","56","80","3","0","damage_contact","anim_tc343_frost_strike_ring","30"
"TC344","Metal Crash","metal","pulse","63","85","4","0","damage_special","anim_tc344_metal_pulse_wave","33"
"TC345","Shade Thread","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc345_shade_guard_slash","36"
"TC346","Radiant Field","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc346_radiant_field_flare","39"
"TC347","Mind Mark","mind","bind","84","100","-8","0","status_or_switch_lock","anim_tc347_mind_bind_quake","42"
"TC348","Echo Rush","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc348_echo_recovery_beam","45"
"TC349","Ember Song","ember","strike","98","79","-6","0","damage_contact","anim_tc349_ember_strike_ripple","48"
"TC350","Tide Blade","tide","pulse","105","84","-5","0","damage_special","anim_tc350_tide_pulse_shard","51"
"TC351","Verdance Nova","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc351_verdance_guard_chain","54"
"TC352","Stone Rift","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc352_stone_field_veil","57"
"TC353","Gale Comet","gale","bind","31","99","-2","0","status_or_switch_lock","anim_tc353_gale_bind_arc","60"
"TC354","Spark Bind","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc354_spark_recovery_surge","63"
"TC355","Frost Mirror","frost","strike","45","78","0","0","damage_contact","anim_tc355_frost_strike_spiral","66"
"TC356","Metal Drift","metal","pulse","52","83","1","0","damage_special","anim_tc356_metal_pulse_burst","69"
"TC357","Shade Aegis","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc357_shade_guard_rain","72"
"TC358","Radiant Burst","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc358_radiant_field_lash","75"
"TC359","Mind Orbit","mind","bind","73","98","4","0","status_or_switch_lock","anim_tc359_mind_bind_ring","78"
"TC360","Echo Needle","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc360_echo_recovery_wave","81"
"TC361","Ember Snap","ember","strike","87","77","-9","0","damage_contact","anim_tc361_ember_strike_slash","84"
"TC362","Tide Surge","tide","pulse","94","82","-8","0","damage_special","anim_tc362_tide_pulse_flare","87"
"TC363","Verdance Veil","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc363_verdance_guard_quake","90"
"TC364","Stone Spiral","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc364_stone_field_beam","93"
"TC365","Gale Crown","gale","bind","115","97","-5","0","status_or_switch_lock","anim_tc365_gale_bind_ripple","96"
"TC366","Spark Pulse","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc366_spark_recovery_shard","99"
"TC367","Frost Fang","frost","strike","34","76","-3","0","damage_contact","anim_tc367_frost_strike_chain","2"
"TC368","Metal Bloom","metal","pulse","41","81","-2","0","damage_special","anim_tc368_metal_pulse_veil","5"
"TC369","Shade Ward","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc369_shade_guard_arc","8"
"TC370","Radiant Lance","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc370_radiant_field_surge","11"
"TC371","Mind Step","mind","bind","62","96","1","0","status_or_switch_lock","anim_tc371_mind_bind_spiral","14"
"TC372","Echo Howl","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc372_echo_recovery_burst","17"
"TC373","Ember Guard","ember","strike","76","75","3","0","damage_contact","anim_tc373_ember_strike_rain","20"
"TC374","Tide Crash","tide","pulse","83","80","4","0","damage_special","anim_tc374_tide_pulse_lash","23"
"TC375","Verdance Thread","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc375_verdance_guard_ring","26"
"TC376","Stone Field","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc376_stone_field_wave","29"
"TC377","Gale Mark","gale","bind","104","95","-8","0","status_or_switch_lock","anim_tc377_gale_bind_slash","32"
"TC378","Spark Rush","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc378_spark_recovery_flare","35"
"TC379","Frost Song","frost","strike","118","74","-6","0","damage_contact","anim_tc379_frost_strike_quake","38"
"TC380","Metal Blade","metal","pulse","30","79","-5","0","damage_special","anim_tc380_metal_pulse_beam","41"
"TC381","Shade Nova","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc381_shade_guard_ripple","44"
"TC382","Radiant Rift","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc382_radiant_field_shard","47"
"TC383","Mind Comet","mind","bind","51","94","-2","0","status_or_switch_lock","anim_tc383_mind_bind_chain","50"
"TC384","Echo Bind","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc384_echo_recovery_veil","53"
"TC385","Ember Mirror","ember","strike","65","73","0","0","damage_contact","anim_tc385_ember_strike_arc","56"
"TC386","Tide Drift","tide","pulse","72","78","1","0","damage_special","anim_tc386_tide_pulse_surge","59"
"TC387","Verdance Aegis","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc387_verdance_guard_spiral","62"
"TC388","Stone Burst","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc388_stone_field_burst","65"
"TC389","Gale Orbit","gale","bind","93","93","4","0","status_or_switch_lock","anim_tc389_gale_bind_rain","68"
"TC390","Spark Needle","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc390_spark_recovery_lash","71"
"TC391","Frost Snap","frost","strike","107","72","-9","0","damage_contact","anim_tc391_frost_strike_ring","74"
"TC392","Metal Surge","metal","pulse","114","77","-8","0","damage_special","anim_tc392_metal_pulse_wave","77"
"TC393","Shade Veil","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc393_shade_guard_slash","80"
"TC394","Radiant Spiral","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc394_radiant_field_flare","83"
"TC395","Mind Crown","mind","bind","40","92","-5","0","status_or_switch_lock","anim_tc395_mind_bind_quake","86"
"TC396","Echo Pulse","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc396_echo_recovery_beam","89"
"TC397","Ember Fang","ember","strike","54","71","-3","0","damage_contact","anim_tc397_ember_strike_ripple","92"
"TC398","Tide Bloom","tide","pulse","61","76","-2","0","damage_special","anim_tc398_tide_pulse_shard","95"
"TC399","Verdance Ward","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc399_verdance_guard_chain","98"
"TC400","Stone Lance","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc400_stone_field_veil","1"
"TC401","Gale Step","gale","bind","82","91","1","0","status_or_switch_lock","anim_tc401_gale_bind_arc","4"
"TC402","Spark Howl","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc402_spark_recovery_surge","7"
"TC403","Frost Guard","frost","strike","96","70","3","0","damage_contact","anim_tc403_frost_strike_spiral","10"
"TC404","Metal Crash","metal","pulse","103","75","4","0","damage_special","anim_tc404_metal_pulse_burst","13"
"TC405","Shade Thread","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc405_shade_guard_rain","16"
"TC406","Radiant Field","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc406_radiant_field_lash","19"
"TC407","Mind Mark","mind","bind","124","90","-8","0","status_or_switch_lock","anim_tc407_mind_bind_ring","22"
"TC408","Echo Rush","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc408_echo_recovery_wave","25"
"TC409","Ember Song","ember","strike","43","100","-6","0","damage_contact","anim_tc409_ember_strike_slash","28"
"TC410","Tide Blade","tide","pulse","50","74","-5","0","damage_special","anim_tc410_tide_pulse_flare","31"
"TC411","Verdance Nova","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc411_verdance_guard_quake","34"
"TC412","Stone Rift","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc412_stone_field_beam","37"
"TC413","Gale Comet","gale","bind","71","89","-2","0","status_or_switch_lock","anim_tc413_gale_bind_ripple","40"
"TC414","Spark Bind","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc414_spark_recovery_shard","43"
"TC415","Frost Mirror","frost","strike","85","99","0","0","damage_contact","anim_tc415_frost_strike_chain","46"
"TC416","Metal Drift","metal","pulse","92","73","1","0","damage_special","anim_tc416_metal_pulse_veil","49"
"TC417","Shade Aegis","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc417_shade_guard_arc","52"
"TC418","Radiant Burst","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc418_radiant_field_surge","55"
"TC419","Mind Orbit","mind","bind","113","88","4","0","status_or_switch_lock","anim_tc419_mind_bind_spiral","58"
"TC420","Echo Needle","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc420_echo_recovery_burst","61"
"TC421","Ember Snap","ember","strike","32","98","-9","0","damage_contact","anim_tc421_ember_strike_rain","64"
"TC422","Tide Surge","tide","pulse","39","72","-8","0","damage_special","anim_tc422_tide_pulse_lash","67"
"TC423","Verdance Veil","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc423_verdance_guard_ring","70"
"TC424","Stone Spiral","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc424_stone_field_wave","73"
"TC425","Gale Crown","gale","bind","60","87","-5","0","status_or_switch_lock","anim_tc425_gale_bind_slash","76"
"TC426","Spark Pulse","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc426_spark_recovery_flare","79"
"TC427","Frost Fang","frost","strike","74","97","-3","0","damage_contact","anim_tc427_frost_strike_quake","82"
"TC428","Metal Bloom","metal","pulse","81","71","-2","0","damage_special","anim_tc428_metal_pulse_beam","85"
"TC429","Shade Ward","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc429_shade_guard_ripple","88"
"TC430","Radiant Lance","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc430_radiant_field_shard","91"
"TC431","Mind Step","mind","bind","102","86","1","0","status_or_switch_lock","anim_tc431_mind_bind_chain","94"
"TC432","Echo Howl","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc432_echo_recovery_veil","97"
"TC433","Ember Guard","ember","strike","116","96","3","0","damage_contact","anim_tc433_ember_strike_arc","100"
"TC434","Tide Crash","tide","pulse","123","70","4","0","damage_special","anim_tc434_tide_pulse_surge","3"
"TC435","Verdance Thread","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc435_verdance_guard_spiral","6"
"TC436","Stone Field","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc436_stone_field_burst","9"
"TC437","Gale Mark","gale","bind","49","85","-8","0","status_or_switch_lock","anim_tc437_gale_bind_rain","12"
"TC438","Spark Rush","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc438_spark_recovery_lash","15"
"TC439","Frost Song","frost","strike","63","95","-6","0","damage_contact","anim_tc439_frost_strike_ring","18"
"TC440","Metal Blade","metal","pulse","70","100","-5","0","damage_special","anim_tc440_metal_pulse_wave","21"
"TC441","Shade Nova","shade","guard","0","100","15","1","raise_guard_or_ward","anim_tc441_shade_guard_slash","24"
"TC442","Radiant Rift","radiant","field","0","100","16","-1","set_terrain_or_weather","anim_tc442_radiant_field_flare","27"
"TC443","Mind Comet","mind","bind","91","84","-2","0","status_or_switch_lock","anim_tc443_mind_bind_quake","30"
"TC444","Echo Bind","echo","recovery","0","100","6","0","restore_vigor_or_cleanse","anim_tc444_echo_recovery_beam","33"
"TC445","Ember Mirror","ember","strike","105","94","0","0","damage_contact","anim_tc445_ember_strike_ripple","36"
"TC446","Tide Drift","tide","pulse","112","99","1","0","damage_special","anim_tc446_tide_pulse_shard","39"
"TC447","Verdance Aegis","verdance","guard","0","100","9","1","raise_guard_or_ward","anim_tc447_verdance_guard_chain","42"
"TC448","Stone Burst","stone","field","0","100","10","-1","set_terrain_or_weather","anim_tc448_stone_field_veil","45"
"TC449","Gale Orbit","gale","bind","38","83","4","0","status_or_switch_lock","anim_tc449_gale_bind_arc","48"
"TC450","Spark Needle","spark","recovery","0","100","12","0","restore_vigor_or_cleanse","anim_tc450_spark_recovery_surge","51"
